age,income,debt_to_income_ratio,credit_utilization,payment_delinquencies,late_payments_30d,late_payments_90d,credit_history_length,number_of_credit_cards,total_debt,employment_length,credit_risk
52,21103.711735112334,28.912154489462022,65.93729271898701,0,0,0,17.180924454618136,3,6002.2656063463655,12.032170492496869,1
42,28441.38067151128,10.270598396502937,50.92444412678464,0,0,0,17.837143281188737,3,3268.610415319369,10.615203030041059,0
54,22518.560317879736,11.106467527140834,44.197938641703466,0,1,0,26.7529058876101,2,2616.620496028024,13.026216698113664,0
67,39669.36227213082,27.017603544439456,67.02398115491654,0,0,0,6.5613022532073995,0,10562.02265218708,0.5847323694054261,1
41,94631.22978798301,18.202358074134217,50.931129888761696,0,0,0,18.436398865364584,2,18344.317499791578,0.0,0
41,19597.67614751459,55.79843194350199,32.28465100661805,1,0,0,26.78445771718815,3,9164.774522387126,2.021268702273513,1
68,80874.70613406629,8.052044628974828,62.80567340114342,0,0,1,33.23571878299503,2,5292.608624688598,14.69514716816939,0
56,19431.725455770887,64.54535126689132,51.12979550285215,0,0,0,19.490040011219115,9,14552.114095703608,0.0,1
37,18433.007640596563,13.25818374187735,43.802849008261404,0,0,0,9.035387553245672,1,2906.9768977036015,4.9380145611230635,0
53,69903.82827987128,39.02661280724584,45.02864562539597,0,1,0,14.18376216421813,7,30895.150875847994,10.965493109538087,1
38,75928.63025025102,64.41400043350626,19.368735377896197,0,1,0,12.388736013502603,3,45937.60443569215,7.560809045972071,1
38,71763.26175826079,15.838391798861695,51.39025152174494,0,0,0,24.021038286103316,3,12210.776259125085,0.0,0
48,15000.0,35.750101053005544,61.55567817757168,0,1,0,19.53165604685815,5,4922.352161855199,10.400372402641203,1
18,25015.20746576595,17.10771886883643,54.91661911478971,2,1,0,21.36068352711489,5,3536.9435747575267,13.29591669714556,0
19,70149.98513325592,31.80991875417314,70.41918476733456,0,1,0,16.021145685964044,6,21360.845363455832,14.737898401979859,1
36,37542.67152819545,38.321626887804825,43.40352234821529,0,0,0,17.75934210848472,1,11610.212487206034,1.3064152645151976,1
29,15383.422122792,36.842887951630445,84.8728378593182,0,0,0,14.213704106278344,3,4990.952387612047,0.1752914072094427,1
49,52399.60600542112,5.228069674690489,54.04278720789251,0,0,0,14.098664298819884,3,2232.915054762191,10.936177067748801,0
31,20499.467574360846,13.681178456453564,46.381715623559955,1,0,0,2.478753623051535,3,2881.756920039487,10.194071294364182,0
23,152606.78793344815,6.442383417384595,60.225810049506634,0,2,0,15.790491501630544,6,10602.755434617284,7.613657795785572,0
66,124975.5216033516,23.577309732660858,29.049128418656768,1,0,0,21.612064957804606,3,31535.863781853433,3.702827404132657,0
41,58881.24754391451,64.96212477099915,52.69026819664816,0,0,0,20.305237552360943,1,35621.14681428776,14.225391441718127,1
46,107883.29972878846,57.817955711868166,50.074769384131365,0,0,0,16.77617172232068,5,52166.154835196554,12.142439992226294,1
23,38247.48479498366,23.81354109565131,61.741570523544794,0,0,0,15.022082493726511,6,9229.044595613042,0.0,0
36,66993.44082858907,12.110804994961372,47.99347153552521,0,1,0,10.499832328333303,0,6600.834031324844,16.35285203584581,0
46,118441.71194722728,65.40163187308767,68.62945144035943,0,0,0,12.835577927269837,2,71049.34617845861,12.075873191954653,1
27,44196.414525172506,62.76852842463181,80.00575995830735,0,1,0,24.22035886699065,5,30588.347025354655,7.957762354137983,1
50,29609.49194688651,18.99741549230756,55.507859812551686,3,1,0,19.881967428655962,2,5944.1881329885255,14.779118139452674,0
35,15000.0,12.016957554501872,22.721583994906933,1,1,0,14.886293779722333,4,1500.3149936038235,11.36435847356877,0
40,33978.83736690034,23.396932350557453,75.14771934197861,1,0,0,22.91798683267482,1,9482.669766939338,0.0,1
35,70174.37870275739,8.378795329777464,60.0554578302378,0,0,0,27.18548202702233,4,5800.437240716048,10.252597453692553,0
72,77381.78856648321,19.51863236592688,43.41001696758643,0,0,1,20.337186241859296,6,15868.42903125631,6.651033234516097,0
44,54365.88121719447,4.785057026760005,59.68393408874037,1,0,0,20.086982280692844,2,2968.8444675278975,11.703522427877296,0
29,23551.875233648283,14.157400130164982,43.88733874558125,1,0,0,9.288158288149715,4,3396.3182547167535,12.101255959689505,0
57,15000.0,19.364837384781612,67.71794333617575,1,1,0,21.0254209079205,3,2660.738037416937,5.398750649614396,1
